date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio
2024-03-28,17348.29,25,39,89,190,41.7,52.6,167.1
2024-03-29,17537.69,12,48,74,146,69.4,68.9,174.6
2024-04-01,17745.4,18,54,111,166,81.9,71.5,174.8
2024-04-02,16898.62,546,1167,1892,2996,4.0,17.6,132.9
2024-04-03,16183.32,584,1253,2003,3175,4.0,23.9,134.3
2024-04-04,15667.93,410,885,1441,2279,6.3,30.5,144.0
2024-04-05,15327.07,313,693,1111,1752,26.6,35.8,151.3
2024-04-08,14786.37,515,1101,1775,2743,4.0,27.0,139.4
2024-04-09,14473.61,237,512,856,1322,16.6,37.6,153.7
2024-04-10,13935.63,470,1015,1627,2542,4.0,21.6,139.8
2024-04-11,13263.27,580,1213,1951,3066,4.0,14.4,131.7
2024-04-12,13132.03,31,72,143,246,45.0,46.6,164.7
2024-04-15,12790.47,329,719,1132,1811,20.1,37.3,148.9
2024-04-16,12136.1,574,1203,1970,3069,4.0,15.3,130.6
2024-04-17,11568.87,590,1257,2026,3205,4.0,14.7,132.1
2024-04-18,11634.94,29,58,120,153,56.5,65.1,171.7
2024-04-19,11683.44,18,46,92,187,56.3,60.1,171.4
2024-04-22,11692.57,9,43,94,170,54.7,58.7,170.1
2024-04-23,11753.42,14,45,91,166,63.1,59.4,171.9
2024-04-24,11639.66,29,68,136,191,34.8,46.9,164.8
2024-04-25,11650.09,31,49,129,173,53.7,61.1,169.5
2024-04-26,11686.75,19,27,57,169,58.1,56.9,170.9
2024-04-29,11670.54,15,27,79,160,53.8,54.4,168.9
2024-04-30,11744.02,17,49,106,194,70.7,67.5,172.3
2024-05-01,11862.68,21,53,99,196,65.7,63.4,173.9
2024-05-02,12049.44,15,31,86,116,85.8,75.5,176.7
2024-05-03,12123.93,26,40,98,156,66.7,66.7,172.0
2024-05-06,12166.03,13,47,112,154,59.0,64.2,171.2
2024-05-07,12159.19,7,26,41,92,58.1,54.6,169.5
2024-05-08,12285.25,15,46,77,218,64.3,69.8,174.2
2024-05-09,12116.79,34,92,140,311,38.2,48.7,162.9
2024-05-10,12238.78,10,25,89,128,75.7,66.8,174.2
2024-05-13,12452.86,25,55,99,188,82.9,76.7,177.2
2024-05-14,12597.11,18,44,76,172,69.2,71.5,174.7
2024-05-15,12644.34,5,35,79,150,53.9,60.4,171.5
2024-05-16,12776.11,17,30,100,142,75.2,66.6,174.2
2024-05-17,12737.71,21,38,57,158,45.8,52.9,168.0
2024-05-20,12752.12,25,58,117,223,56.4,60.0,169.8
2024-05-21,12774.33,9,33,85,126,56.4,61.9,170.5
2024-05-22,12758.59,15,29,69,148,58.3,57.2,169.0
2024-05-23,12743.65,15,34,49,91,53.1,55.3,169.0
2024-05-24,12782.33,15,30,60,124,59.0,64.2,170.9
2024-05-27,12845.44,19,44,95,143,57.3,62.4,171.7
2024-05-28,12782.86,17,66,98,233,44.5,52.0,167.3
2024-05-29,12753.08,21,42,97,141,46.7,54.9,168.4
2024-05-30,12771.72,10,37,70,143,63.0,59.4,170.4
2024-05-31,12733.08,22,37,95,123,43.1,51.6,168.0
2024-06-03,12911.98,19,38,57,174,79.5,67.8,175.8
2024-06-04,12810.72,41,72,125,269,39.2,49.4,165.3
2024-06-05,12546.64,290,610,995,1598,29.2,37.2,152.4
2024-06-06,12640.1,19,37,53,121,63.8,67.7,172.8
2024-06-07,12696.06,12,42,83,137,62.9,63.6,171.6
2024-06-10,12797.64,17,47,101,188,69.3,63.4,173.1
2024-06-11,12852.84,27,55,121,171,69.1,58.3,171.2
2024-06-12,13011.48,19,48,116,178,79.5,72.5,175.0
2024-06-13,12975.04,21,45,88,182,52.2,58.7,168.1
2024-06-14,12927.48,25,35,90,155,42.5,52.3,167.6
2024-06-17,12880.01,14,29,99,179,53.2,56.4,167.9
2024-06-18,13030.54,16,41,87,182,78.3,69.3,174.8
2024-06-19,12397.99,615,1315,2129,3327,4.0,15.5,130.6
2024-06-20,11797.91,598,1269,2072,3243,4.0,12.7,131.1
2024-06-21,11240.23,588,1233,2010,3098,4.0,12.5,131.9
2024-06-24,10432.4,830,1750,2816,4383,4.0,8.0,124.0
2024-06-25,10239.28,187,410,679,1120,22.3,39.3,156.3
2024-06-26,9860.24,419,883,1414,2287,4.0,25.2,141.4
2024-06-27,9456.97,493,1048,1691,2653,4.0,18.0,137.5
2024-06-28,8840.59,689,1453,2334,3651,4.0,8.0,124.0
2024-07-01,8477.31,578,1239,1965,3085,4.0,24.8,135.0
2024-07-02,8220.61,338,706,1145,1837,4.0,30.9,146.7
2024-07-03,8000.0,957,2038,3245,5079,4.0,8.0,124.0
2024-07-04,8000.0,483,1030,1672,2612,4.0,20.0,135.8
2024-07-05,8000.0,1059,2272,3643,5700,4.0,8.0,124.0
2024-07-08,8000.0,802,1693,2744,4241,4.0,8.0,124.0
2024-07-09,8000.0,795,1698,2711,4250,4.0,8.0,124.0
2024-07-10,8000.0,648,1376,2222,3471,4.0,16.3,130.9
2024-07-11,8000.0,605,1288,2055,3221,4.0,8.0,128.2
2024-07-12,8000.0,421,901,1447,2263,9.1,35.3,144.8
2024-07-15,8000.0,529,1140,1856,2908,4.0,12.6,131.1
2024-07-16,8000.0,1006,2146,3432,5346,4.0,8.0,124.0
2024-07-17,8000.0,393,832,1374,2119,4.0,23.3,141.7
2024-07-18,8000.0,339,722,1197,1898,15.2,30.5,147.2
2024-07-19,8000.0,642,1355,2176,3406,4.0,15.0,130.9
2024-07-22,8000.0,766,1628,2594,4051,4.0,10.2,124.0
2024-07-23,8000.0,942,2013,3234,5051,4.0,8.0,124.0
2024-07-24,8115.96,17,36,81,160,83.6,74.1,176.0
2024-07-25,8067.31,25,62,125,191,37.7,52.6,166.6
2024-07-26,8103.76,23,54,106,212,69.2,64.4,171.4
2024-07-29,8057.11,18,56,102,220,53.7,56.2,166.9
2024-07-30,8008.6,15,42,75,171,50.6,53.6,166.9
2024-07-31,8000.0,15,44,115,164,52.2,50.1,167.3
2024-08-01,8018.35,7,34,90,138,56.5,61.5,170.8
2024-08-02,8031.69,27,59,114,180,51.1,60.5,170.0
2024-08-05,8104.98,29,43,113,179,65.2,62.4,173.3
2024-08-06,8037.48,42,77,178,278,37.4,54.4,165.1
2024-08-07,8074.3,6,27,49,146,63.4,60.3,171.9
2024-08-08,8025.51,23,44,100,205,40.6,52.4,166.6
2024-08-09,8000.0,23,67,119,178,45.9,52.8,166.1
2024-08-12,8020.91,7,33,58,163,62.6,62.8,171.0
2024-08-13,8078.87,6,34,62,168,68.0,63.0,173.1
2024-08-14,8049.8,10,44,92,138,49.7,56.5,168.1
2024-08-15,8240.9,19,28,63,168,96.0,77.1,180.1
2024-08-16,8248.52,19,42,125,188,63.0,58.4,169.9
2024-08-19,8229.38,13,26,61,140,44.8,58.6,168.6
2024-08-20,8241.72,11,37,94,177,62.3,62.3,170.4
2024-08-21,8211.31,24,40,70,182,46.2,56.9,167.7
2024-08-22,8312.04,25,49,90,223,74.5,72.3,174.8
2024-08-23,8273.03,14,47,94,176,42.1,53.5,167.5
2024-08-26,8228.8,13,46,83,200,40.2,52.8,167.2
2024-08-27,8213.11,12,28,86,119,44.8,54.3,168.8
2024-08-28,8250.61,26,45,96,217,60.6,62.2,171.3
2024-08-29,8334.85,14,32,70,175,68.9,65.4,174.2
2024-08-30,8283.25,23,56,135,215,46.6,54.7,166.6
2024-09-02,8370.01,18,54,126,176,66.9,66.1,174.2
2024-09-03,8257.21,43,118,188,353,35.1,48.6,162.7
2024-09-04,8209.39,25,46,118,170,43.9,49.0,166.7
2024-09-05,8207.48,8,25,73,110,61.1,55.4,169.7
2024-09-06,8181.46,17,38,83,121,48.4,58.5,168.1
2024-09-09,8141.05,14,53,88,165,43.0,57.3,167.4
2024-09-10,8139.58,8,22,50,98,49.3,60.3,169.7
2024-09-11,8222.19,14,24,44,116,67.2,64.7,174.2
2024-09-12,8271.24,30,46,138,190,71.7,63.9,171.8
2024-09-13,8215.51,27,68,140,227,48.3,50.5,166.2
2024-09-16,8137.23,29,77,154,211,44.9,47.0,164.9
2024-09-17,8281.17,14,41,82,172,83.4,75.4,177.6
2024-09-18,8265.7,11,20,54,138,44.4,58.6,168.8
2024-09-19,8250.61,6,23,57,170,54.1,58.2,169.0
2024-09-20,8153.33,39,84,160,219,36.5,44.4,163.6
2024-09-23,8118.83,19,55,88,164,51.6,55.1,167.6
2024-09-24,8158.21,29,55,107,238,65.1,62.3,171.4
2024-09-25,8100.82,31,72,133,249,45.6,50.6,165.9
2024-09-26,8101.58,8,45,97,146,59.6,60.3,169.8
2024-09-27,8110.52,18,49,76,195,54.9,59.2,170.0
2024-09-30,8222.11,23,53,103,161,72.1,69.4,175.5
2024-10-01,8197.24,19,32,66,127,53.6,53.9,168.1
2024-10-02,8100.46,32,80,145,308,37.4,48.0,163.8
2024-10-03,8184.95,18,26,74,152,78.8,67.0,174.2
2024-10-04,8203.86,30,53,93,199,62.9,56.9,170.2
2024-10-07,8283.56,20,56,134,234,78.0,68.7,173.8
2024-10-08,8355.39,9,27,45,154,73.9,61.9,173.6
2024-10-09,8430.24,21,29,83,136,62.2,64.1,173.4
2024-10-10,8431.71,6,17,67,123,51.0,58.0,169.9
2024-10-11,8381.67,25,36,92,178,52.6,55.8,166.6
2024-10-14,8364.67,16,36,84,161,54.6,57.9,168.6
2024-10-15,8455.62,20,50,88,158,65.9,66.3,174.3
2024-10-16,8431.92,18,42,85,139,55.3,59.4,168.2
2024-10-17,8470.78,15,55,126,176,58.0,65.3,171.6
2024-10-18,8579.46,13,48,104,151,81.1,67.2,175.4
2024-10-21,8709.99,17,49,102,181,83.9,72.6,176.4
2024-10-22,8757.64,15,35,65,105,57.5,66.4,172.0
2024-10-23,8847.09,3,28,65,148,67.7,69.9,174.5
2024-10-24,8801.33,26,47,98,199,41.4,52.6,166.9
2024-10-25,8908.85,30,43,118,165,71.3,67.9,174.6
2024-10-28,8920.01,19,39,90,210,58.2,56.2,170.0
2024-10-29,8723.97,281,615,1014,1618,13.4,36.3,152.1
2024-10-30,8760.5,29,56,103,164,55.1,65.4,171.1
2024-10-31,8709.58,30,62,122,187,44.8,52.7,166.5
2024-11-01,8690.37,8,35,85,168,46.9,52.7,168.8
2024-11-04,8768.77,16,57,132,196,66.0,62.2,173.6
2024-11-05,8788.65,4,22,50,136,63.7,63.9,170.9
2024-11-06,8827.74,28,61,94,187,58.5,59.9,171.2
2024-11-07,8865.71,27,62,120,197,54.2,61.4,171.2
2024-11-08,8741.12,55,124,228,360,33.1,43.0,162.1
2024-11-11,8591.23,213,440,740,1174,27.3,41.3,156.2
2024-11-12,8598.83,22,46,95,229,52.1,58.0,169.8
2024-11-13,8470.64,46,86,192,324,37.6,44.9,162.0
2024-11-14,8580.62,16,55,94,190,76.3,67.4,175.4
2024-11-15,8618.25,26,38,101,217,62.0,61.6,171.2
2024-11-18,8611.67,15,31,46,116,53.1,58.2,169.2
2024-11-19,8610.86,4,19,48,139,51.3,54.6,169.8
2024-11-20,8658.96,5,33,74,116,66.8,60.1,172.4
2024-11-21,8579.21,27,52,119,234,36.3,46.5,165.1
2024-11-22,8551.37,20,42,113,186,48.6,53.2,168.0
2024-11-25,8466.57,34,94,168,290,32.4,51.2,164.6
2024-11-26,8371.99,46,90,201,330,44.9,51.0,163.7
2024-11-27,8417.74,17,29,60,101,58.8,59.8,172.0
2024-11-28,8305.15,50,110,221,354,39.8,44.1,162.6
2024-11-29,8178.58,215,451,761,1160,33.4,40.7,157.0
2024-12-02,8192.01,19,42,107,206,59.7,61.6,170.2
2024-12-03,8286.63,26,56,98,165,80.5,70.6,174.5
2024-12-04,8315.5,20,39,76,110,59.1,59.7,171.0
2024-12-05,8341.95,23,58,132,219,67.1,59.7,170.8
2024-12-06,8329.73,9,28,75,172,44.8,60.6,169.1
2024-12-09,8245.42,36,81,145,253,40.0,52.3,164.4
2024-12-10,8186.01,30,61,133,218,50.2,51.1,165.9
2024-12-11,8090.28,45,85,193,310,39.7,45.9,163.5
2024-12-12,8037.7,31,59,108,219,49.1,55.1,166.2
2024-12-13,8064.7,25,35,105,144,63.5,63.8,170.8
2024-12-16,8110.21,20,48,83,219,61.5,63.0,172.0
2024-12-17,8215.02,15,36,67,188,68.6,65.9,175.4
2024-12-18,8215.32,12,20,87,149,55.4,55.8,169.7
2024-12-19,8225.68,8,27,59,150,56.2,62.7,170.3
2024-12-20,8280.83,7,33,88,141,73.0,66.0,172.8
2024-12-23,8288.57,3,30,52,147,58.2,57.7,170.3
2024-12-24,8115.59,207,464,765,1219,23.5,39.9,154.7
2024-12-25,8161.78,8,19,54,105,67.4,59.9,172.3
2024-12-26,8126.97,15,46,116,166,50.1,57.2,167.7
2024-12-27,8164.58,4,36,51,127,63.5,60.2,172.0
2024-12-30,8202.61,12,38,108,145,60.8,65.8,171.8
2024-12-31,8208.75,10,18,73,149,53.8,54.9,170.1
2025-01-01,8145.93,31,63,102,203,36.0,51.5,165.7
2025-01-02,8206.49,8,34,58,157,69.7,68.4,173.1
2025-01-03,8208.63,24,47,113,239,52.2,60.4,169.4
2025-01-06,8164.18,15,46,80,169,44.5,56.6,167.1
2025-01-07,8231.64,22,39,59,128,60.5,65.2,173.1
2025-01-08,8280.04,16,49,109,195,58.4,62.0,172.2
2025-01-09,8313.61,14,41,64,145,67.4,60.4,171.4
2025-01-10,8344.73,14,33,53,110,65.2,59.6,171.3
2025-01-13,8281.53,40,83,120,259,43.7,53.3,165.4
2025-01-14,8357.15,23,50,84,213,65.3,66.1,173.5
2025-01-15,8294.66,21,62,87,165,45.8,53.0,166.0
2025-01-16,8317.18,15,29,59,148,57.8,58.0,170.8
2025-01-17,8297.94,11,24,70,162,52.9,54.6,168.6
2025-01-20,8333.45,17,46,78,153,58.3,62.6,171.4
2025-01-21,8298.39,18,43,69,174,41.9,56.1,167.6
2025-01-22,8252.48,21,51,90,223,39.6,56.2,166.9
2025-01-23,8233.76,19,34,73,177,46.4,59.2,168.4
2025-01-24,8205.99,14,29,71,159,56.4,53.9,168.1
2025-01-27,8197.16,8,16,60,128,59.4,57.4,169.3
2025-01-28,8000.0,786,1679,2699,4255,4.0,8.0,124.0
2025-01-29,8000.0,574,1219,1951,3059,4.0,20.5,134.5
2025-01-30,8000.0,626,1343,2144,3391,4.0,12.9,128.9
2025-01-31,8000.0,441,939,1506,2356,4.0,20.6,138.3
2025-02-03,8000.0,1121,2395,3829,5964,4.0,8.0,124.0
2025-02-04,8000.0,596,1248,2022,3155,4.0,15.1,129.6
2025-02-05,8000.0,752,1612,2562,4072,4.0,11.0,124.0
2025-02-06,8000.0,682,1454,2321,3624,4.0,8.0,125.8
2025-02-07,8000.0,749,1571,2528,3939,4.0,8.0,124.0
2025-02-10,8000.0,605,1284,2076,3247,4.0,8.0,127.0
2025-02-11,8000.0,683,1442,2345,3628,4.0,12.5,126.6
2025-02-12,8000.0,802,1732,2753,4322,4.0,8.0,124.0
2025-02-13,8000.0,383,811,1323,2111,4.0,22.8,143.1
2025-02-14,8000.0,973,2069,3334,5218,4.0,8.0,124.0
2025-02-17,8083.09,23,45,124,161,76.5,70.1,174.0
2025-02-18,8022.74,28,63,133,257,46.2,51.9,165.8
2025-02-19,8056.42,30,57,112,230,62.9,58.4,171.0
2025-02-20,8000.0,39,90,157,272,42.6,45.6,164.2
2025-02-21,8000.0,8,38,92,159,55.1,58.6,168.2
2025-02-24,8000.0,193,423,707,1068,34.8,47.0,157.4
2025-02-25,8053.25,26,54,126,183,62.5,61.6,172.3
2025-02-26,8007.87,29,44,95,217,52.2,52.6,166.6
2025-02-27,8061.64,9,46,68,188,70.8,60.6,172.8
2025-02-28,8113.08,7,33,99,153,67.7,66.1,172.7
2025-03-03,8093.74,7,38,94,134,49.2,52.9,168.7
2025-03-04,8118.78,4,36,81,159,59.3,58.9,171.3
2025-03-05,8127.61,20,45,105,153,61.3,56.7,169.9
2025-03-06,8114.31,14,27,62,168,57.9,56.4,168.9
2025-03-07,8216.03,28,59,113,201,72.3,70.6,174.8
2025-03-10,8198.81,10,29,50,143,53.9,59.9,168.8
2025-03-11,8273.38,14,56,71,183,71.6,67.7,173.7
2025-03-12,8280.91,25,52,92,176,63.8,57.5,169.7
2025-03-13,8359.44,16,32,57,172,69.4,63.3,173.8
2025-03-14,8459.95,23,38,97,221,82.1,68.2,174.8
2025-03-17,8341.46,55,112,223,321,32.9,43.3,162.1
2025-03-18,8411.75,23,51,100,214,68.6,68.0,173.1
2025-03-19,8400.69,16,28,59,121,48.8,53.4,169.0
2025-03-20,8407.16,17,55,113,195,59.2,56.9,169.9
2025-03-21,8315.87,39,98,177,302,30.0,50.5,164.0
2025-03-24,8292.16,15,36,102,172,56.1,57.0,168.3
2025-03-25,8447.7,14,37,95,183,86.6,72.4,178.0
2025-03-26,8380.88,16,42,81,207,43.7,51.3,166.0
2025-03-27,8377.67,4,15,42,144,46.5,57.0,169.7
2025-03-28,8403.9,26,42,115,173,63.6,64.3,170.7
2025-03-31,8346.55,33,66,131,247,43.8,53.5,166.0
2025-04-01,8306.95,27,52,90,205,50.9,55.0,167.1
2025-04-02,8289.82,4,37,52,140,44.2,53.4,169.0
2025-04-03,8394.67,10,36,77,146,72.1,71.3,175.4
2025-04-04,8000.0,872,1862,2965,4646,4.0,8.0,124.0
2025-04-07,8000.0,555,1180,1917,2992,4.0,8.2,129.7
2025-04-08,8000.0,652,1389,2229,3453,4.0,16.2,128.8
2025-04-09,8000.0,733,1550,2466,3891,4.0,8.0,124.0
2025-04-10,8000.0,496,1055,1704,2665,4.0,17.6,135.0
2025-04-11,8000.0,794,1684,2726,4226,4.0,8.0,124.0
2025-04-14,8000.0,488,1051,1704,2665,4.0,17.4,134.4
2025-04-15,8000.0,596,1284,2065,3243,4.0,15.2,132.3
2025-04-16,8000.0,853,1812,2905,4574,4.0,8.0,124.0
2025-04-17,8000.0,531,1139,1848,2892,4.0,21.1,136.6
2025-04-18,8000.0,575,1225,1997,3087,4.0,8.1,128.9
2025-04-21,8000.0,784,1674,2712,4255,4.0,8.0,124.0
2025-04-22,8000.0,897,1905,3073,4779,4.0,8.0,124.0
2025-04-23,8000.0,872,1856,2989,4647,4.0,8.0,124.0
2025-04-24,8000.0,798,1703,2730,4242,4.0,8.0,124.0
2025-04-25,8000.0,676,1440,2338,3629,4.0,14.3,127.6
2025-04-28,8000.0,821,1760,2793,4377,4.0,8.0,124.0
2025-04-29,8000.0,808,1731,2771,4377,4.0,8.0,124.0
2025-04-30,8000.0,472,1004,1606,2530,4.0,16.3,137.5
2025-05-01,8000.0,616,1334,2148,3379,4.0,15.9,131.4
2025-05-02,8000.0,854,1820,2915,4549,4.0,8.0,124.0
2025-05-05,8000.0,893,1907,3025,4768,4.0,8.0,124.0
2025-05-06,8000.0,715,1526,2449,3854,4.0,8.0,124.0
2025-05-07,8000.0,586,1232,1969,3154,4.0,10.9,131.0
2025-05-08,8000.0,46,87,187,266,38.4,43.1,162.8
2025-05-09,8077.08,23,36,82,188,73.9,67.1,173.7
2025-05-12,8000.0,39,97,145,294,36.4,44.6,162.7
2025-05-13,8048.26,18,29,77,118,57.7,60.0,172.2
2025-05-14,8164.7,19,41,93,126,73.4,73.3,176.0
2025-05-15,8140.55,9,44,64,179,49.4,51.7,168.4
2025-05-16,8173.72,11,29,102,183,55.3,63.1,171.5
2025-05-19,8121.84,24,43,84,201,39.1,49.0,166.5
2025-05-20,8121.48,9,29,65,143,55.7,59.6,169.7
2025-05-21,8190.33,3,18,79,134,63.1,62.5,173.7
2025-05-22,8184.35,16,24,62,132,50.1,58.4,169.2
2025-05-23,8069.28,38,66,151,273,33.7,42.3,162.6
2025-05-26,8000.0,39,108,185,304,32.6,44.4,163.8
2025-05-27,8000.0,2,18,46,96,60.3,60.6,169.5
2025-05-28,8000.0,33,73,156,261,29.2,46.4,162.9
2025-05-29,8000.0,447,935,1526,2424,4.0,27.4,142.8
2025-05-30,8000.0,469,993,1621,2543,5.4,23.3,140.6
2025-06-02,8000.0,309,657,1069,1674,12.1,33.9,148.5
2025-06-03,8000.0,671,1418,2306,3617,4.0,11.8,127.3
2025-06-04,8000.0,809,1734,2795,4333,4.0,10.7,124.0
2025-06-05,8000.0,571,1219,1932,3021,4.0,9.4,129.5
2025-06-06,8000.0,507,1105,1764,2786,4.0,15.5,135.9
2025-06-09,8000.0,641,1380,2208,3448,4.0,8.0,126.5
2025-06-10,8000.0,762,1643,2600,4075,4.0,12.9,124.0
2025-06-11,8000.0,534,1139,1828,2873,4.0,13.4,134.2
2025-06-12,8000.0,366,759,1261,1977,4.0,27.0,144.6
2025-06-13,8000.0,316,663,1096,1731,9.4,35.1,147.8
2025-06-16,8000.0,842,1777,2863,4480,4.0,8.0,124.0
2025-06-17,8000.0,703,1500,2371,3754,4.0,12.2,126.3
2025-06-18,8000.0,319,696,1123,1798,8.6,37.6,149.4
2025-06-19,8000.0,423,901,1435,2279,4.0,29.3,142.9
2025-06-20,8000.0,460,980,1603,2491,4.0,28.4,142.1
2025-06-23,8000.0,258,555,882,1404,10.8,33.9,152.2
2025-06-24,8000.0,501,1061,1709,2658,4.0,20.7,136.2
2025-06-25,8000.0,18,61,110,189,39.3,50.0,165.6
2025-06-26,8033.32,5,30,71,118,57.4,63.7,171.7
2025-06-27,8112.82,26,62,114,170,73.8,65.4,173.7
2025-06-30,8000.0,43,94,154,285,35.5,48.3,162.4
2025-07-01,8013.13,20,35,57,140,58.2,58.3,170.2
2025-07-02,8030.93,4,35,67,96,57.5,62.6,170.9
2025-07-03,8011.46,10,34,82,167,51.1,58.4,168.6
2025-07-04,8000.0,35,74,175,296,34.1,51.4,164.6
2025-07-07,8006.4,14,32,63,159,52.6,60.5,170.0
2025-07-08,8000.0,18,51,104,157,45.2,49.5,166.9
2025-07-09,8074.51,21,40,94,175,72.3,62.7,173.6
2025-07-10,8000.0,34,95,170,319,43.6,46.7,164.5
2025-07-11,8060.89,25,46,106,163,68.5,68.3,172.7
2025-07-14,8000.0,716,1504,2438,3796,4.0,8.0,124.7
2025-07-15,8000.0,441,953,1506,2434,4.0,19.3,138.3
2025-07-16,8000.0,794,1666,2671,4178,4.0,8.0,124.0
2025-07-17,8000.0,754,1617,2603,4066,4.0,8.0,124.0
2025-07-18,8000.0,580,1239,1984,3120,4.0,8.0,128.8
2025-07-21,8000.0,561,1195,1896,3011,4.0,16.9,134.7
2025-07-22,8000.0,552,1188,1933,2988,4.0,12.7,132.0
2025-07-23,8000.0,718,1537,2459,3838,4.0,12.9,125.0
2025-07-24,8000.0,612,1296,2089,3256,4.0,18.5,131.7
2025-07-25,8000.0,632,1336,2151,3363,4.0,10.1,126.3
2025-07-28,8000.0,589,1269,2027,3194,4.0,8.0,128.5
2025-07-29,8000.0,553,1193,1942,2984,4.0,11.1,131.4
2025-07-30,8000.0,817,1747,2797,4353,4.0,8.0,124.0
2025-07-31,8000.0,690,1470,2349,3704,4.0,8.0,124.0
2025-08-01,8000.0,559,1190,1938,3012,4.0,23.1,134.7
2025-08-04,8000.0,599,1287,2089,3270,4.0,16.2,131.6
2025-08-05,8000.0,719,1532,2449,3844,4.0,8.0,124.7
2025-08-06,8000.0,652,1402,2234,3502,4.0,8.0,124.0
2025-08-07,8000.0,922,1976,3177,4915,4.0,8.0,124.0
2025-08-08,8000.0,412,892,1459,2306,4.0,23.5,139.1
2025-08-11,8000.0,545,1163,1900,2941,4.0,15.0,131.7
2025-08-12,8000.0,1043,2214,3523,5524,4.0,8.0,124.0
2025-08-13,8000.0,514,1083,1767,2791,4.0,20.6,137.2
2025-08-14,8000.0,827,1747,2809,4352,4.0,8.0,124.0
2025-08-15,8000.0,30,51,134,239,37.0,54.2,165.7
2025-08-18,8037.35,19,29,58,112,69.2,64.9,171.6
2025-08-19,8000.0,27,88,172,262,34.3,53.6,165.4
2025-08-20,8058.55,22,39,90,156,59.4,68.0,172.7
2025-08-21,8112.16,27,39,108,205,66.7,60.0,172.2
2025-08-22,8027.9,40,89,157,288,31.3,46.6,164.2
2025-08-25,8000.0,11,34,71,146,43.8,53.9,168.0
2025-08-26,8000.0,27,57,132,216,44.7,54.0,166.9
2025-08-27,8000.2,26,54,98,234,53.8,59.4,169.3
2025-08-28,8000.0,34,82,118,215,41.6,53.0,165.5
2025-08-29,8001.72,17,35,86,134,62.1,59.1,169.6
2025-09-01,8000.0,9,24,94,172,57.3,60.3,168.9
2025-09-02,8006.77,3,31,80,105,54.0,55.2,170.3
2025-09-03,8090.98,26,41,85,212,78.3,68.9,174.0
2025-09-04,8109.32,20,32,68,139,55.3,62.9,170.4
2025-09-05,8150.38,27,50,74,161,69.8,60.4,171.5
2025-09-08,8266.53,15,36,73,154,85.8,74.1,176.0
2025-09-09,8204.96,30,68,167,229,40.7,50.0,165.8
2025-09-10,8258.87,18,38,100,180,64.4,60.2,172.4
2025-09-11,8284.21,24,52,87,186,65.4,61.1,170.7
2025-09-12,8467.99,11,27,66,114,96.0,74.4,179.7
2025-09-15,8460.43,9,17,73,114,51.6,57.8,169.3
2025-09-16,8487.69,17,34,57,161,60.2,62.3,171.0
2025-09-17,8466.27,15,28,75,126,48.4,55.6,168.4
